ID,N,E,"Accuracy (radius, m)","Thickness, m","Absolute elevation, m a.s.l.",Type of excavation,Geomorphological position modern,Geomorphological position,Name of geographic feature,Nearest locality,Administrative unit,Type of deposits,Stratigraphic position,Chronological data available,Dating method,Number of magnetostratigraphy boundaries,Number of  14С dates ,Number of  OSL dates,Number of  TL dates,Number of (U–Th)/He dates ,Publication 1,DOI / link 1,Publication 2,DOI / link 2,Publication 3,DOI / link 3,Publication 4,DOI / link 4,Principal investigator,Comments,Data contributor,n_sources
1,44.78053,44.16336,5000,1–100,90–130,ND,ND,ND,Буденновск,Буденновск,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,Галай Научные статьи.pdf,ND,Галай_1981_Некотороые закономерности строения лессовых толщ.pdf,ND,Диссертация Галай,ND,Трофимов_ред._Лессовый покров Земли_2001.pdf,ND,ND,консолидировано из 5 источн.; г. Буденновск || г. Буденновск,auto-extraction (loess pipeline),5
1564,61.00353,69.01897,5000,ND,ND,ND,ND,ND,Ханты-Мансийск,Ханты-Мансийск,ND,alluvium; slope deposits; till,Middle Pleistocene,Yes,ND,ND,ND,ND,ND,ND,Oglavlenie.pdf,ND,Velichko_AA_1985_Kraevie_obrazovaniya_materikovih_oledenenii.pdf,ND,ND,ND,ND,ND,ND,консолидировано из 2 источн.; Оползни самаровского останца (г. Ханты-Мансийск) || Дислоцированные гляциокомплексы г.Ханты-Мансийска в устье Иртыша,auto-extraction (loess pipeline),2
1569,57.07532,39.2644,5000,ND,ND,ND,ND,ND,Левина Гора,Левина Гора,Ярославская область,marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,ND,ND,ND,ND,ND,ND,Opornye_razrezy_ИСТОЧНИК???.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; В описанном выше разрезе III террасы у д. Левина Гора || валунные суглинки из обнажения у д. Левина Гора на р. Саре,auto-extraction (loess pipeline),1
1572,55.7994,32.16816,5000,ND,ND,ND,ND,ND,Лорино,Лорино,ND,marine deposits,Upper Pleistocene; Holocene,Yes,ND,ND,ND,ND,ND,ND,Petrov_OM_1966_Stratigrafiya_i_fauna_morskih_molluskov_chetvertichnih_otlozhenii_Chukotskogo_poluostrova.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; Местонахождения. ... Лорино (14) || Энмелен (5) и Лорино (14) — по нескольку экземпляров, крестовская свита;",auto-extraction (loess pipeline),1
1577,46.1748,30.4585,5000,ND,ND,ND,ND,ND,Роксоланы,Роксоланы,Украина,alluvium; loess; loess-like silty loam; slope deposits,Middle Pleistocene; Upper Pleistocene; Holocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,The Matuyama–Brunhes boundary and the nature of magnetic remanence acquisition in the loess–palaeosol sequence from the western part of the East European loess province.pdf,ND,pilipenko2007.pdf,ND,ND,ND,ND,ND,ND,"консолидировано из 2 источн.; The loess–soil Roxolany section is located on the eastern shore of the Dniester liman, about 40 km from || Roxolany section: Heller et al., 1996; Tsatskin et al., 1998",auto-extraction (loess pipeline),2
1586,66.55414,59.4202,5000,ND,ND,ND,ND,ND,Адзьва,Адзьва,ND,marine deposits; till,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene,Yes,ND,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,Величко и др. 2001. Оледенения среднего плейстоцена. 2001,ND,ND,ND,ND,ND,ND,консолидировано из 2 источн.; Д – Адзьва || Вещественный состав разновозрастных морен из разрезов на р. Адзьва.,auto-extraction (loess pipeline),2
1590,56.0059,53.34366,5000,6,58.7,ND,ND,ND,Бима,Бима,Республика Татарстан,alluvium; loess; loess-like loam; loess-like silty loam; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Разрез расположен в подмываемом обрыве левого берега р. Мёша в 2 км севернее н/п Бима. || разрез «Бима» может являться одним из ключевых местонахождений,auto-extraction (loess pipeline),1
1593,43.79724,131.95208,5000,ND,ND,ND,ND,ND,Никольское,Никольское,ND,alluvium; marine deposits,Middle Pleistocene; Upper Pleistocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,Лаврентьев_2009. Late Quarternery Caspian.pdf,ND,ND,ND,ND,ND,ND,"консолидировано из 2 источн.; с. Никольское || the coquina at the bottom of the ‘chocolate’ clays at Nikolskoye and the coquina, on top of the ‘chocolate’ clays at Tsagan-Aman",auto-extraction (loess pipeline),2
1607,57.16569,39.28266,5000,7,ND,ND,ND,ND,Черемошник,Черемошник,Ярославская область,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits; till; volcanic ash,Upper Pleistocene,Yes,(U-Th)/He; 14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,Sudakova_NG_Dashevskii_VV_1984_Chetvertichnie_otlozheniya_okrestnostei_Rostova_Yaroslavskogo_ekskursiya.PDF,ND,ND,ND,ND,ND,ND,консолидировано из 2 источн.; опорный разрез Черемошник || Cheremoshnik village,auto-extraction (loess pipeline),2
1612,59.60564,39.13343,5000,ND,ND,ND,ND,ND,Афанасово,Афанасово,ND,ND,ND,Yes,ND,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,Shancer_EV_1982_Chetvertichnaya_sistema_polutom1.pdf,ND,ND,ND,ND,ND,ND,"консолидировано из 2 источн.; 1. Изучены опорные разрезы четвертичных и плиоценовых отложений (Биклянь, Афанасово и др.). || Нижнекривичская свита (лихвинский горизонт): Афанасово; ряд скважин Жигулевского створа",auto-extraction (loess pipeline),2
1613,68.81696,32.8165,5000,1–3.25,77–92.4,ND,ND,ND,Мурмаши,Мурмаши,Мурманская область,loess-like loam,Upper Pleistocene; Holocene,Yes,ND,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; в 4 км на северо-запад от пос. Мурмаши || в 6 км на северо-запад от пос. Мурмаши,auto-extraction (loess pipeline),1
1616,52.67083,33.28305,5000,ND,ND,ND,ND,ND,Юдиново,Юдиново,Брянская область,alluvium; loess,Upper Pleistocene,Yes,14C; magnetostratigraphy,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,Velichko_AA_Starkel_L_1994_Paleogeograficheskaya_osnova_sovremennih_landshftov.pdf,ND,ND,ND,ND,ND,ND,"консолидировано из 2 источн.; мы поведем речь о проблеме интерпретации данных о мамонтах стоянки Юдиново на р. Судость. || «На севере рассматриваемой территории (Брянская обл., позднепалеолитическая стоянка Юдиново) в спорово‑пыль",auto-extraction (loess pipeline),2
1619,58.04922,36.98097,5000,ND,ND,ND,ND,ND,Пальниково,Пальниково,Тверская область,alluvium; loess; loess-like silty loam; marine deposits; slope deposits,Middle Pleistocene,Yes,ND,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,"[J._Ehlers,_P.L._Gibbard,_P.D._Hughes]_Quaternary.pdf",ND,ND,ND,ND,ND,ND,"консолидировано из 2 источн.; Гипостратотип горкинского горизонта (средний неоплейстоцен) у д. Пальниково (Тверская область) || Tyaglitsy and Pal’nikovo in the Tver’ region (Shick et al., 2006)",auto-extraction (loess pipeline),2
1620,61.09566,29.86278,5000,ND,ND,ND,ND,ND,Богатыри,Богатыри,ND,marine deposits; volcanic ash,Lower Pleistocene,Yes,ND,ND,ND,ND,ND,ND,Quarter 2013 better1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; стоянки Богатыри || стоянка Богатыри,auto-extraction (loess pipeline),1
1622,46.91536,37.09849,5000,ND,ND,ND,ND,ND,Приморское,Приморское,Украина,alluvium; loess; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,Rozycki. Loess and loess-like deposits.pdf,ND,Veklich_MF_Molyavko_GI_1979_Metodika_paleopedologicheskih_issledovanii.pdf,ND,ND,ND,ND,ND,ND,консолидировано из 2 источн.; Primorskoye region || с. Приморское,auto-extraction (loess pipeline),2
1623,46.17455,47.96944,5000,ND,ND,ND,ND,ND,Чаган,Чаган,ND,alluvium; loess; marine deposits; slope deposits; volcanic ash,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,SBORNIK-part1.pdf,ND,"[J._Ehlers,_P.L._Gibbard,_P.D._Hughes]_Quaternary.pdf",ND,ND,ND,ND,ND,ND,консолидировано из 2 источн.; […]Результаты TL датирования отложений разреза Чаган (по данным разных авторов)[…] || – Chagan Outcrop,auto-extraction (loess pipeline),2
1625,69.56904,84.55279,5000,ND,ND,ND,ND,ND,Малая Хета,Малая Хета,ND,alluvium; loess-like silty loam,Upper Pleistocene,Yes,14C; OSL,ND,ND,ND,ND,ND,SBORNIK-part1.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; Явно межледниковые флоры описаны в подморенном аллювии каргинской террасы на Малой Хете, ранее неправильно отнесенного к 3-й ступени из-за омоложенных || по разрезам Нижнего Енисея (Малая Хета и Полой",auto-extraction (loess pipeline),1
1626,69.71389,66.8123,5000,ND,ND,ND,ND,ND,Марресале,Марресале,ND,loess; loess-like silty loam; slope deposits,Upper Pleistocene; Holocene,Yes,14C; OSL; TL,ND,ND,ND,ND,ND,SBORNIK-part1.pdf,ND,Velichko_AA_2009_Atlas_Paleoklimati_i_paleolandshafti_vnetropicheskogo_prostranstva_pozdnii_pleisocene_holocene).pdf,ND,ND,ND,ND,ND,ND,"консолидировано из 2 источн.; как в разрезах ... Марресале [Forman et al., 2002] || [Васильчук, 1992; Васильчук, 2007; Forman et al., 1999; Forman et al., 2002]",auto-extraction (loess pipeline),2
1628,51.44726,33.39775,5000,ND,ND,ND,ND,ND,Бозок,Бозок,ND,alluvium,Upper Pleistocene; Holocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part11.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; «Гумусовые профили почв территории археологического памятника Бозок» || «Гумусовые профили почв территории археологического памятника Бозок»,auto-extraction (loess pipeline),1
1633,57.27135,86.07323,5000,ND,ND,ND,ND,ND,Сергеево,Сергеево,Томская область,loess,Middle Pleistocene; Upper Pleistocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part15.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Сергеево (верхний костеносный уровень) || Сергеево (нижний костеносный уровень; Томская обл.),auto-extraction (loess pipeline),1
1634,52.62994,76.73466,5000,ND,ND,ND,ND,ND,Григорьевка,Григорьевка,Павлодарская область,loess,Middle Pleistocene; Upper Pleistocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part15.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Григорьевка (верхний костеносный уровень) || Григорьевка (нижний костеносный уровень; Павлодарская обл.),auto-extraction (loess pipeline),1
1637,50.10264,88.3615,5000,25–46,ND,ND,ND,ND,Чаган-Узун,Чаган-Узун,Республика Алтай,loess-like loam,Middle Pleistocene; Upper Pleistocene,Yes,14C; TL,ND,ND,ND,ND,ND,SBORNIK-part3.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; среднеплейстоценовые ленточно-слоистые осадки в разрезе Чаган || разрезе Чаган-Узун,auto-extraction (loess pipeline),1
1645,56.31533,38.13599,5000,ND,ND,ND,ND,ND,Сергиев Посад,Сергиев Посад,ND,till,Middle Pleistocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,SBORNIK-part6.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Сергиев Посад (р. Кунья) || Сергиев Посад (р. Кунья),auto-extraction (loess pipeline),1
1646,43.76433,59.02975,5000,8.2,50,ND,ND,ND,Муйнак,Муйнак,ND,alluvium; marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C,ND,ND,ND,ND,ND,SBORNIK-part7.pdf,ND,Sherbakov_DI_1963_Geohimiya_petrografiya_i_mineralogiya_osadochnih_porod.pdf,ND,ND,ND,ND,ND,ND,консолидировано из 2 источн.; Скважина М1-2003 заложена в 32 км к С3 от пос. Муйнак || хорошо окатанные разности тяготеют к пробе Муйнак,auto-extraction (loess pipeline),2
1649,61.00353,69.01897,5000,ND,ND,ND,ND,ND,Ханты-Мансийск,Ханты-Мансийск,Ханты-Мансийский автономный округ,alluvium; loess-like loam; till,Middle Pleistocene; Upper Pleistocene; Holocene,Yes,ND,ND,ND,ND,ND,ND,SBORNIK-part8.pdf,ND,Трофимов_ред._Лессовый покров Земли_2001.pdf,ND,ND,ND,ND,ND,ND,консолидировано из 2 источн.; ОПОЛЗНИ САМАРОВСКОГО ОСТАНЦА (г. ХАНТЫ-МАНСИЙСК) || близ г. Ханты-Мансийска,auto-extraction (loess pipeline),2
1651,56.36127,86.47415,5000,2.3–3.8,ND,ND,ND,ND,Бекет,Бекет,Кемеровская область,alluvium; loess-like silty loam,Upper Pleistocene; Holocene,Yes,14C,ND,ND,ND,ND,ND,SBORNIK-part9.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; Разрез Бекет (N 56°21′; E 86°25′; Яйский район, Кемеровская область) || Разрез Бекет (N 56°21′; E 86°25′; Яйский район, Кемеровская область)",auto-extraction (loess pipeline),1
1659,43.00313,41.01966,5000,12,100,ND,ND,ND,Сухуми,Сухуми,Абхазия,alluvium; loess; loess-like silty loam; marine deposits,Middle Pleistocene; Upper Pleistocene,Yes,14C; magnetostratigraphy,ND,ND,ND,ND,ND,Shancer_EV_1982_Chetvertichnaya_sistema_polutom1.pdf,ND,Yakovlev_SA_1956_Osnovi_geologii_chetvertichnih_otlozhenii_Russkoi_ravnini.pdf,ND,ND,ND,ND,ND,ND,"консолидировано из 2 источн.; по наблюдениям в районе р. Сухуми было «твердо установлено» (Громов, 1940, с. 97), что остатки мустьерских памятников залегают in situ выше дислоциров || Г. Ф. Мирчинк (1936) в Сухуми, в разрезах по Б",auto-extraction (loess pipeline),2
1660,56.21436,159.98069,5000,ND,ND,ND,ND,ND,Ушки,Ушки,Камчатка,alluvium,Upper Pleistocene; Holocene,Yes,14C,ND,ND,ND,ND,ND,Shancer_EV_1982_Chetvertichnaya_sistema_polutom1.pdf,ND,Velichko_AA_Kotlyakov_VM_2014_Atlas_Zaselenie_Arktiki_chelovekom.pdf,ND,ND,ND,ND,ND,ND,"консолидировано из 2 источн.; находки палеолитической стоянки Ушки на Камчатке... открытой... при раскопках многослойной мезолитической стоянки || на стоянке Ушки I, V (слой VII) с жилищами и захоронением, эта культура датирована",auto-extraction (loess pipeline),2
1662,56.77246,55.83598,5000,ND,ND,ND,ND,ND,Танып,Танып,ND,alluvium; loess; marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,ND,ND,ND,ND,ND,ND,Sherbakov_DI_1963_Geohimiya_petrografiya_i_mineralogiya_osadochnih_porod.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; Танып, скв. 6 || Танып, скв. 1",auto-extraction (loess pipeline),1
1664,51.78075,30.275,5000,60–65,ND,ND,ND,ND,Брагин,Брагин,ND,marine deposits,Middle Pleistocene,Yes,ND,ND,ND,ND,ND,ND,Sherbakov_DI_1963_Geohimiya_petrografiya_i_mineralogiya_osadochnih_porod.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Средняя — карбонатно-песчаная пачка межсолевой толщи Брагина || Верхняя — мергельно-карбонатная пачка межсолевой толщи Брагина,auto-extraction (loess pipeline),1
1665,51.80629,29.15196,5000,20–25,ND,ND,ND,ND,Ельск,Ельск,ND,marine deposits,Lower Pleistocene; Upper Pleistocene,Yes,ND,ND,ND,ND,ND,ND,Sherbakov_DI_1963_Geohimiya_petrografiya_i_mineralogiya_osadochnih_porod.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; В межсолевых отложениях Ельска и Стреличева, расположенных в непосредственной близости от Черниговского очага вулканизма... || Карбонатная минерализация межсолевых отложений в стреличевском типе разре",auto-extraction (loess pipeline),1
1666,51.83809,29.99043,5000,ND,ND,ND,ND,ND,Стреличево,Стреличево,ND,marine deposits,Lower Pleistocene; Upper Pleistocene,Yes,ND,ND,ND,ND,ND,ND,Sherbakov_DI_1963_Geohimiya_petrografiya_i_mineralogiya_osadochnih_porod.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; В межсолевых отложениях Ельска и Стреличева, расположенных в непосредственной близости от Черниговского очага вулканизма... || Карбонатная минерализация межсолевых отложений в стреличевском типе разре",auto-extraction (loess pipeline),1
1672,51.97804,38.02896,5000,20.8,196.81,ND,ND,ND,Васильевка,Васильевка,Липецкая область,loess; loess-like loam; marine deposits; till,Lower Pleistocene; Upper Pleistocene,Yes,ND,ND,ND,ND,ND,ND,Shik_SM_1992_Stratigrafiya_fanerozoya_centra_Vostochno-Evropeiskoi_platformi.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; в районе с. Васильевка Липецкой области || В скважинах у с. Васильевка Липецкой области описана морена,auto-extraction (loess pipeline),1
1673,53.48288,38.91801,5000,ND,134.2–141.8,ND,ND,ND,Александровка,Александровка,Липецкая область,till,Middle Pleistocene,Yes,ND,ND,ND,ND,ND,ND,Shik_SM_1992_Stratigrafiya_fanerozoya_centra_Vostochno-Evropeiskoi_platformi.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; с Александровка || с Александровка,auto-extraction (loess pipeline),1
1674,53.37402,41.13323,5000,ND,140–155,ND,ND,ND,Верхняя Ярославка,Верхняя Ярославка,ND,loess-like loam,Lower Pleistocene,Yes,ND,ND,ND,ND,ND,ND,Shik_SM_Grichuk_VP_1977_Miotsen_Oksko-Donskoi_ravnini.pdf,ND,Иосифова. Миоцен Окско-Донской равнины. 1977.pdf,ND,ND,ND,ND,ND,ND,консолидировано из 2 источн.; скв. 42-Т у с. Верхняя Ярославка || скважинах у сел Верхняя Ярославка и Дмитровка,auto-extraction (loess pipeline),2
1677,51.8404,42.2543,5000,26.7,ND,ND,ND,ND,Вольная Вершина,Вольная Вершина,Тамбовская область,alluvium; marine deposits; slope deposits; till,Lower Pleistocene; Upper Pleistocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,Shik_SM_Grichuk_VP_1977_Miotsen_Oksko-Donskoi_ravnini.pdf,ND,Иосифова. Миоцен Окско-Донской равнины. 1977.pdf,ND,ND,ND,ND,ND,ND,консолидировано из 2 источн.; Приведем описание стратотипического разреза (скв. 13) у д. Вольная Вершина Уваровского района Тамбовской области || стратотипического разреза (скв. 13) у д. Вольная Вершина,auto-extraction (loess pipeline),2
1680,53.02759,41.21355,5000,10–13,155,ND,ND,ND,Дегтянка,Дегтянка,Тамбовская область,alluvium; slope deposits,Middle Pleistocene; Upper Pleistocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,Shik_SM_Grichuk_VP_1977_Miotsen_Oksko-Donskoi_ravnini.pdf,ND,Иосифова. Миоцен Окско-Донской равнины. 1977.pdf,ND,ND,ND,ND,ND,ND,консолидировано из 2 источн.; Нижний ритм получил название дегтянские слои по цепи обнажений в районе пос. Дегтянка Тамбовской области || В группе обнажений и карьеров в окрестностях пос. Дегтянка — стратотипа дегтянских слоев — н,auto-extraction (loess pipeline),2
1683,49.98195,43.34771,5000,ND,ND,ND,ND,ND,Гурово,Гурово,Волгоградская область,alluvium; slope deposits,Middle Pleistocene; Upper Pleistocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,Shik_SM_Grichuk_VP_1977_Miotsen_Oksko-Donskoi_ravnini.pdf,ND,Иосифова. Миоцен Окско-Донской равнины. 1977.pdf,ND,ND,ND,ND,ND,ND,"консолидировано из 2 источн.; конка — ранний сармат — Волгоградская область (Гурово) || «конка — ранний сармат — Ростовская область (р. Крынка), Волгоградская обл. (Гурово)»",auto-extraction (loess pipeline),2
1690,51.8404,42.2543,5000,ND,ND,ND,ND,ND,Вольная Вершина,Вольная Вершина,ND,alluvium; loess; slope deposits,Lower Pleistocene; Middle Pleistocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,Shik_SM_Grichuk_VP_1977_Miotsen_Oksko-Donskoi_ravnini.pdf,ND,Горецкий 1982. Палеопатамологические эскизы Палео-Дона,ND,ND,ND,ND,ND,ND,консолидировано из 2 источн.; Наиболее типичными П. И. Дорофеев считает флоры Вольной Вершины (скв. 13) || разрез скв. 13 у д. Вольная Вершина Уваровского района,auto-extraction (loess pipeline),2
1691,56.2252,28.65984,5000,3,ND,ND,ND,ND,Лаврово,Лаврово,ND,loess; loess-like loam,Lower Pleistocene; Middle Pleistocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,Shik_SM_Grichuk_VP_1977_Miotsen_Oksko-Donskoi_ravnini.pdf,ND,Иосифова. Миоцен Окско-Донской равнины. 1977.pdf,ND,ND,ND,ND,ND,ND,консолидировано из 2 источн.; Отпечатки листьев найдены только в скв. 57-Т у с. Лаврово || скв. 111 у с. Лаврово,auto-extraction (loess pipeline),2
1692,52.02737,41.08686,5000,ND,ND,ND,ND,ND,Каликино,Каликино,Тамбовская область,alluvium; loess; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,Shik_SM_Grichuk_VP_1977_Miotsen_Oksko-Donskoi_ravnini.pdf,ND,Иосифова. Миоцен Окско-Донской равнины. 1977.pdf,ND,ND,ND,ND,ND,ND,"консолидировано из 2 источн.; В разрезах у сел Каликино и Терновка Тамбовской области из нижней части горелкинской свиты, по-видимому, отвечающей дегтянским слоям, был выделен пыль || В разрезах у сел Каликино и Терновка Тамбовско",auto-extraction (loess pipeline),2
1695,44.86326,43.44069,5000,400–600,ND,ND,ND,ND,Ставрополье,Ставрополье,ND,alluvium; loess; slope deposits,Middle Pleistocene; Upper Pleistocene; Holocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,Shik_SM_Grichuk_VP_1977_Miotsen_Oksko-Donskoi_ravnini.pdf,ND,Сафронов И.Н. 1970. Проблемы новейшей тектоники Предкавказья,ND,ND,ND,ND,ND,ND,консолидировано из 2 источн.; «…до 400 м в Ставрополье…» || «Ставрополье выделяется как область устойчивого умеренного новейшего поднятия. Общая величина Ставропольского поднятия с конца миоцена … определяется,auto-extraction (loess pipeline),2
1698,49.05831,32.94906,5000,ND,ND,ND,ND,ND,Велика Андрусівка,Велика Андрусівка,ND,alluvium; loess; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,OSL; TL,ND,ND,ND,ND,ND,Spatial vegetation patterns based on palynological records in the loess area between the Dnieper and Odra Rivers during the last interglacial–glacial cycle.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Velyka Andrusivka || «Велика Андрусівка находится в лесостепной зоне»,auto-extraction (loess pipeline),1
1699,48.38145,35.13248,5000,ND,ND,ND,ND,ND,Старі Кодаки,Старі Кодаки,ND,loess,Upper Pleistocene,Yes,OSL,ND,ND,ND,ND,ND,Spatial vegetation patterns based on palynological records in the loess area between the Dnieper and Odra Rivers during the last interglacial–glacial cycle.pdf,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; Stari Kodaky from the other examined profiles. || «Старі Кодаки — исключение, где деревья и кустарники образовывали лишь пятна, которые никогда не превращались в плотные леса, даже в климатическом опт",auto-extraction (loess pipeline),1
1709,61.03853,30.12485,5000,ND,ND,ND,ND,ND,Приозерск,Приозерск,ND,loess; till,Upper Pleistocene; Holocene,Yes,ND,ND,ND,ND,ND,ND,Subetto_DA_2009_Donnie_otlozheniya_ozer_paleolimnologicheskie_rekonstukcii.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; «…отобранной на подводном склоне с глубины 55 м в районе города Приозерска…» || «…отобранной на подводном склоне с глубины 55 м в районе города Приозерска…»,auto-extraction (loess pipeline),1
1714,58.0833,55.76999,5000,4–4.1,ND,ND,ND,ND,Краснокамск,Краснокамск,Пермский край,loess-like loam,Holocene,Yes,14C,ND,ND,ND,ND,ND,Tarasov_PE_Harrison_SP_1994_Lake_Status_Records_from_the_former_SU.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; KRASNOKAMSK MIRE || KRASNOKAMSK MIRE,auto-extraction (loess pipeline),1
1715,41.18884,44.3348,5000,4.5,1898,ND,ND,ND,Норашен,Норашен,Армения,alluvium; loess; loess-like silty loam; slope deposits,Holocene,Yes,14C,ND,ND,ND,ND,ND,Tarasov_PE_Harrison_SP_1994_Lake_Status_Records_from_the_former_SU.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; A 4.5 m sequence (called the Norashen sequence) from the southwestern coast near Norashen village || Norashen sequence,auto-extraction (loess pipeline),1
1720,46.87872,38.75617,5000,ND,ND,ND,ND,ND,Порт-Катон 4,Порт-Катон 4,ND,loess; loess-like loam; loess-like silty loam; slope deposits,Middle Pleistocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,Tesakov et al. 2007,ND,ND,ND,ND,ND,ND,ND,ND,"консолидировано из 1 источн.; Port-Katon 4, early Middle Pleistocene || In 2003 the authors studied the cliff section about 1.5 km to the NE of the settlement of Port Katon. This section yielded small mammals that proved f",auto-extraction (loess pipeline),1
1721,47.0061,39.04642,5000,ND,ND,ND,ND,ND,Семибалки 2,Семибалки 2,ND,alluvium; loess; loess-like loam; slope deposits,Middle Pleistocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,Tesakov et al. 2007,ND,Величко и др. 2010. Основные подходы к хроностраиграфическому расчленению ЛПФ Восточного Приазовья,ND,ND,ND,ND,ND,ND,"консолидировано из 2 источн.; Semibalki 2 [46°59′N, 39°01′E] (Fig. 1). || В разрезах Семибалки 2 и Шабельское воронский почвенный профиль состоит...",auto-extraction (loess pipeline),2
1724,70.16648,72.51052,5000,20,ND,ND,ND,ND,Сё-Яха,Сё-Яха,Ямал,loess-like silty loam,Middle Pleistocene; Upper Pleistocene,Yes,14C,ND,ND,ND,ND,ND,The periglacial climate and environment in northern Eurasia during the Last Glaciation.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; On the eastern Yamal Peninsula there is an important and well-studied section named Syo-Yakha || an important and well-studied section named Syo-Yakha,auto-extraction (loess pipeline),1
1726,54.64263,83.30357,5000,ND,ND,ND,ND,ND,Искитим,Искитим,Новосибирская область,loess,Upper Pleistocene,Yes,14C; OSL,ND,ND,ND,ND,ND,The Siberian loess record and its significance for reconstruction of Pleistocene climate change in north-central Asia.pdf,ND,ND,ND,ND,ND,ND,ND,ND,консолидировано из 1 источн.; Iskitim || Iskitim sections,auto-extraction (loess pipeline),1
