ID,N,E,"Accuracy (radius, m)","Thickness, m","Absolute elevation, m a.s.l.",Type of excavation,Geomorphological position modern,Geomorphological position,Name of geographic feature,Nearest locality,Administrative unit,Type of deposits,Stratigraphic position,Chronological data available,Dating method,Number of magnetostratigraphy boundaries,Number of  14С dates ,Number of  OSL dates,Number of  TL dates,Number of (U–Th)/He dates ,Publication 1,DOI / link 1,Publication 2,DOI / link 2,Publication 3,DOI / link 3,Publication 4,DOI / link 4,Principal investigator,Comments,Data contributor,n_sources
1,44.78053,44.16336,5000,1–100,90–130,ND,ND,ND,Буденновск,Буденновск,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,Галай Научные статьи.pdf,ND,Галай_1981_Некотороые закономерности строения лессовых толщ.pdf,ND,Диссертация Галай,ND,Трофимов_ред._Лессовый покров Земли_2001.pdf,ND,ND,консолидировано из 5 источн.; г. Буденновск || г. Буденновск,auto-extraction (loess pipeline),5
18,57.16569,39.28266,5000,1.5–7.5,160,ND,ND,ND,Черемошник,Черемошник,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits; till; volcanic ash,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,Chastnie_metodi_izucheniya_istorii_sovremennih_ekosistem_1979.pdf,ND,Kvasov_DD_Pozdnechetvertichnaya_istoriya_krupnih_ozer_i_vnutrennih_morei_Vostochnoi_evropi.pdf,ND,Markov_KK_1969_Putevoditel_ekskursii_Moskva_Verhnyaya_Volga.pdf,ND,Opornye_razrezy_ИСТОЧНИК???.pdf,ND,ND,консолидировано из 6 источн.; верхнеплейстоценовой микунинской фауны Черемошник в котловине оз. Неро || Одна из них была найдена в микулинском торфе Ростовской котловины у дер. Черемошник Ярославской обл.,auto-extraction (loess pipeline),6
20,59.19035,39.45947,5000,2.5–8,ND,ND,ND,ND,Кучино,Кучино,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits; till,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; magnetostratigraphy,ND,ND,ND,ND,ND,Velichko_AA_1997_Lessovo-pochvennaya_formaciya_Vostochno-Evropeiskoi_ravnini.pdf,ND,Velichko_AA_1997_Lessovo-pochvennaya_formaciya_Vostochno_evropeiskoi_ravnini.pdf,ND,Velichko_AA_1999_Izmenenie_klimata_i_landshaftov_za_poslednie_65_mln_let.pdf,ND,Velichko_AA_Morozova_TD_1996_Paleokriogenez_pochvennii_,ND,ND,консолидировано из 7 источн.; Глава 1 Ключевой участок Кучино || Ключевой участок Кучино,auto-extraction (loess pipeline),7
21,51.10084,41.63091,5000,1–24,ND,ND,ND,ND,Новохоперск,Новохоперск,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits; till,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,Gerasimov_IP_Velichko_AA_1980_Vozrast_i_rasprostranenie_maksimalnogo_oledeneniya_Vostochnoi_Evropi.pdf,ND,Markov_KK_Popov_AI_1959_Lednikovii_pokrov_na_territorii_evropeiskoi_chasti_SSSR_i_Sibiri.pdf,ND,Velichko_AA_1975_Problemi_paleogeografii_lessovih_i_periglyacialnih_oblastei.pdf,ND,Velichko_AA_1999_,ND,ND,"консолидировано из 16 источн.; Более ярко признаки полигенетичности тамбовских почв проявляются в более южных разрезах: Посевкино, Верхний Карачан, Новохоперск, Клепки, – где каждая || в разрез Новохоперск",auto-extraction (loess pipeline),16
22,53.24238,34.36683,5000,0.3–9,ND,ND,ND,ND,Брянск,Брянск,Брянская область,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL,ND,ND,ND,ND,ND,Gerasimov_IP_1969_Loess_periglyacial_paleolit_na_territorii_Srednei_I_Vostochnoi_Evropi.pdf,ND,Markov_KK_1961_Relief_i_stratigrafiya_chetvertichnih_otlozhenii_NW_Russkoi_ravnini.pdf,ND,Velichko_AA_1975_Problemi_paleogeografii_lessovih_i_periglyacialnih_oblastei.pdf,ND,Velichko_AA_1984_Late-Quaternary_E,ND,ND,"консолидировано из 9 источн.; район г.Брянска || Южнее, в районе Брянска",auto-extraction (loess pipeline),9
23,51.33131,129.21114,5000,7–10,5–8,ND,ND,ND,Маргаритовка,Маргаритовка,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,magnetostratigraphy,ND,ND,ND,ND,ND,Markov_KK_1976_Razrez_noveishih_oltozhenii_Severo_vostochnogo_Priazoviya.PDF,ND,Zubakov_VA_Tseitlin_SM_1971_Problemi_periodizacii_pleistocena.pdf,ND,Лебедева Н.А. 1972. Антропоген Приазовья,ND,Лебедева Н.А. 1978 Корреляция антропогеновых толщ понто-каспия,ND,ND,консолидировано из 6 источн.; Разрез у с. Маргаритовка || Строение разреза у с. Маргаритовка описано Н. А. Лебедевой (1965).,auto-extraction (loess pipeline),6
25,53.24446,34.19109,5000,7–11.05,4–8,ND,ND,ND,Елисеевичи,Елисеевичи,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL,ND,ND,ND,ND,ND,Velichko_AA_1984_Late-Quaternary_Environments_of_the_Soviet_Union.pdf,ND,Velichko_AA_1997_Pervobitnii_chelovek_v_ekstremalnih_usloviyah_sredi_Stoyanka_Eliseevichi.pdf,ND,Velichko_AA_Morozova_TD_1996_Paleokriogenez_pochvennii_pokrov_i_zemledelie.pdf,ND,Velichko_a_a_1961_geologicheskiy_vozrast_verkhnego_,ND,ND,"консолидировано из 5 источн.; Figure 9-7. Pseudomorph of polygonal ice vein at the Late Paleolithic Yeliseyevichi campsite. || Стоянка Елисеевичи расположена на участке, ограниченном двумя крупными балками (протяженность которых 1",auto-extraction (loess pipeline),5
26,53.24238,34.36683,5000,0.4–17,12,ND,ND,ND,Брянск,Брянск,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits; till,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; magnetostratigraphy,ND,ND,ND,ND,ND,Gerasimov_IP_1965_Poslednii_Evropeiskii_lednikovii_pokrov.pdf,ND,Gerasimov_IP_1969_Loess_periglyacial_paleolit_na_territorii_Srednei_I_Vostochnoi_Evropi.pdf,ND,Markov_KK_1961_Relief_i_stratigrafiya_chetvertichnih_otlozhenii_NW_Russkoi_ravnini.pdf,ND,Velichko_AA_1975_Problemi_paleogeografii_lessovih_i_p,ND,ND,"консолидировано из 9 источн.; на нижней окраине Брянска, на плато правобережья Десны || в разрезах Мезина и Брянск дали около 25.000 лет",auto-extraction (loess pipeline),9
27,54.417,40.43223,5000,0.3–15,131,ND,ND,ND,Фатьяновка,Фатьяновка,ND,alluvium; loess; loess-like loam; marine deposits; slope deposits; till,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,OSL; magnetostratigraphy,ND,ND,ND,ND,ND,Gerasimov_IP_Velichko_AA_1980_Vozrast_i_rasprostranenie_maksimalnogo_oledeneniya_Vostochnoi_Evropi.pdf,ND,Velichko_AA_1975_Problemi_paleogeografii_lessovih_i_periglyacialnih_oblastei.pdf,ND,Velichko_AA_Grichuk_VP_1981_Voprosi_paleogeografii_pleistocena_lednikovih_i_periglyacialnih_oblastei.pdf,ND,Велич,ND,ND,консолидировано из 5 источн.; В – Фатьяновка || Разрез Фатьяновка представляет разрез древней погребенной террасы Оки у с. Фатьяновка,auto-extraction (loess pipeline),5
28,47.74892,28.95657,5000,0.25–1.5,ND,ND,ND,ND,Резина,Резина,ND,alluvium; loess; loess-like loam; loess-like silty loam; marine deposits; slope deposits; volcanic ash,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,Velichko_AA_1997_Lessovo-pochvennaya_formaciya_Vostochno-Evropeiskoi_ravnini.pdf,ND,Velichko_AA_1997_Lessovo-pochvennaya_formaciya_Vostochno_evropeiskoi_ravnini.pdf,ND,ND,ND,ND,ND,ND,консолидировано из 2 источн.; Глава 2 Опорный разрез Резина || Резина,auto-extraction (loess pipeline),2
29,59.04146,48.29329,5000,0.1–0.3,ND,ND,ND,ND,Костенки,Костенки,ND,alluvium; loess; loess-like loam; slope deposits; till; volcanic ash,Lower Pleistocene; Middle Pleistocene; Upper Pleistocene; Holocene,Yes,14C; OSL; TL; magnetostratigraphy,ND,ND,ND,ND,ND,2006 Позднекайнозойская геологическая история севера аридной зоны.pdf,ND,Gerasimov_IP_1969_Loess_periglyacial_paleolit_na_territorii_Srednei_I_Vostochnoi_Evropi.pdf,ND,Golovanova et al. 2010_Significance of Ecological Factors in the Middle to Upper Paleolithic Transition.pdf,ND,Pyle et al 2006_Wide dis,ND,ND,"консолидировано из 10 источн.; В Костенках выделяется пять вариантов/культур граветта: типа II культурного слоя Костенок 8, александровский, костенковско-авдеевский, аноховский, гме || В Костенках она представлена четырьмя памятник",auto-extraction (loess pipeline),10
